case,rel_reg,abs_reg,divergence,rel_bias,w1_exact,scale,best_rel_reg
synthetic,0.02,0.020263350754918506,0.2941004505008575,0.06063263288558003,0.31308352918867627,1.0131675377459253,0.02
synthetic,0.05,0.05065837688729627,0.2685787688051956,0.14214979784727153,0.31308352918867627,1.0131675377459253,0.02
synthetic,0.1,0.10131675377459254,0.23063194696252806,0.26335330523395145,0.31308352918867627,1.0131675377459253,0.02
synthetic,0.2,0.20263350754918508,0.1749111438984785,0.44132754491511345,0.31308352918867627,1.0131675377459253,0.02
synthetic,0.35,0.3546086382110738,0.1244533729878518,0.602491471492097,0.31308352918867627,1.0131675377459253,0.02
synthetic,0.5,0.5065837688729626,0.09563003864375974,0.6945542332055118,0.31308352918867627,1.0131675377459253,0.02
synthetic,0.75,0.759875653309444,0.06971623558082041,0.7773238478514573,0.31308352918867627,1.0131675377459253,0.02
synthetic,1.0,1.0131675377459253,0.056341536907818734,0.8200431142007948,0.31308352918867627,1.0131675377459253,0.02
synthetic,1.5,1.519751306618888,0.043943147447314646,0.8596440139754755,0.31308352918867627,1.0131675377459253,0.02
synthetic,2.0,2.0263350754918505,0.03860002995041745,0.876710122533608,0.31308352918867627,1.0131675377459253,0.02
config_crn,0.02,0.031082181969840233,2.2621751613917946,0.011661703521419027,2.2888672526925804,1.5541090984920116,0.02
config_crn,0.05,0.07770545492460058,2.217824206490531,0.031038517466871685,2.2888672526925804,1.5541090984920116,0.02
config_crn,0.1,0.15541090984920117,2.1499137092006038,0.060708432666208276,2.2888672526925804,1.5541090984920116,0.02
config_crn,0.2,0.31082181969840234,2.0400223675092635,0.10871966685292932,2.2888672526925804,1.5541090984920116,0.02
config_crn,0.35,0.543938184472204,1.9200984064996391,0.16111412567029762,2.2888672526925804,1.5541090984920116,0.02
config_crn,0.5,0.7770545492460058,1.829237101336949,0.20081118763656175,2.2888672526925804,1.5541090984920116,0.02
config_crn,0.75,1.1655818238690088,1.7165540131906454,0.25004212840595125,2.2888672526925804,1.5541090984920116,0.02
config_crn,1.0,1.5541090984920116,1.637457053885897,0.28459937903361443,2.2888672526925804,1.5541090984920116,0.02
config_crn,1.5,2.3311636477380175,1.5394322732744454,0.32742614432379763,2.2888672526925804,1.5541090984920116,0.02
config_crn,2.0,3.1082181969840232,1.4838213220335317,0.35172242064803355,2.2888672526925804,1.5541090984920116,0.02
