toxicity_feedback,inner_steps,m_median,m_all,m_pred_structural
2.0,15,0.02303791046142578,0.5557;0.0131;0.0230,0.4257891943177328
2.0,30,0.422271728515625,0.7913;0.0637;0.4223,0.4257891943177328
2.0,60,0.3522663116455078,0.6024;0.0712;0.3523,0.4257891943177328
2.0,120,0.4260444641113281,0.5760;0.1008;0.4260,0.4257891943177328
2.0,240,0.320453405380249,0.5250;0.1693;0.3205,0.4257891943177328
2.0,480,0.3591642379760742,0.5965;0.1342;0.3592,0.4257891943177328
5.0,15,0.13026535511016846,0.4900;0.1303;0.0182,1.064472985794332
5.0,30,0.37671959400177,0.3767;0.9192;0.2492,1.064472985794332
5.0,60,1.5609757900238037,0.4406;2.4965;1.5610,1.064472985794332
5.0,120,2.8539535999298096,0.1614;4.6126;2.8540,1.064472985794332
5.0,240,3.1108477115631104,0.1892;4.8209;3.1108,1.064472985794332
5.0,480,2.8456313610076904,0.7034;4.9119;2.8456,1.064472985794332
