K,seed,slope,modulus,out_plus,out_minus,h_ref,delta,lr
1,0,-0.10616493225097656,0.10616493225097656,0.8071842789649963,0.8602667450904846,1.0,0.25,0.08
1,1,0.020610690116882324,0.020610690116882324,0.8434042930603027,0.8330989480018616,1.0,0.25,0.08
1,2,0.894294023513794,0.894294023513794,1.4073655605316162,0.9602185487747192,1.0,0.25,0.08
2,0,0.022748231887817383,0.022748231887817383,0.828592836856842,0.8172187209129333,1.0,0.25,0.08
2,1,-0.22763538360595703,0.22763538360595703,0.8058825731277466,0.9197002649307251,1.0,0.25,0.08
2,2,-0.06367754936218262,0.06367754936218262,1.3000603914260864,1.3318991661071777,1.0,0.25,0.08
3,0,-0.01598334312438965,0.01598334312438965,0.7926816940307617,0.8006733655929565,1.0,0.25,0.08
3,1,-1.3709689378738403,1.3709689378738403,0.7640214562416077,1.4495059251785278,1.0,0.25,0.08
3,2,-0.2574939727783203,0.2574939727783203,1.3591662645339966,1.4879132509231567,1.0,0.25,0.08
5,0,-0.07806134223937988,0.07806134223937988,0.8127064108848572,0.8517370820045471,1.0,0.25,0.08
5,1,-3.7154461145401,3.7154461145401,0.7081775069236755,2.5659005641937256,1.0,0.25,0.08
5,2,-0.6950356960296631,0.6950356960296631,1.350455403327942,1.6979732513427734,1.0,0.25,0.08
8,0,-0.550783634185791,0.550783634185791,0.8380728960037231,1.1134647130966187,1.0,0.25,0.08
8,1,-4.8105034828186035,4.8105034828186035,0.6509177684783936,3.0561695098876953,1.0,0.25,0.08
8,2,-1.5413649082183838,1.5413649082183838,1.2580476999282837,2.0287301540374756,1.0,0.25,0.08
12,0,-0.9220370054244995,0.9220370054244995,0.8111218810081482,1.272140383720398,1.0,0.25,0.08
12,1,-5.017560362815857,5.017560362815857,0.6160326600074768,3.1248128414154053,1.0,0.25,0.08
12,2,-4.4700000286102295,4.4700000286102295,1.1859883069992065,3.4209883213043213,1.0,0.25,0.08
20,0,-6.793557286262512,6.793557286262512,0.841728150844574,4.23850679397583,1.0,0.25,0.08
20,1,-4.808289527893066,4.808289527893066,0.5857579708099365,2.9899027347564697,1.0,0.25,0.08
20,2,-4.692914247512817,4.692914247512817,1.1954439878463745,3.541901111602783,1.0,0.25,0.08
